No,Word,Meaning
1,downfall,"몰락, 파멸; 몰락의 원인"
2,interpret,"(의미를) 해석하다, 이해하다; 통역하다"
3,conscious,"의식하는, 지각하는; 의식이 있는"
4,filter,"거르다, 여과하다; 여과 장치, 여과기"
5,swell,"부풀다, 붓다; 증가하다; 팽창; 증대"
6,inferior,"(~보다) 못한, 열등한; 하급의, 지위가 낮은"
7,consolidate,"통합하다, 합병하다; (권력 등을) 굳건하게 하다, 강화하다"
8,innovate,혁신하다; 도입하다
9,confidential,"비밀의, 기밀의"
10,plot,"줄거리; 음모, 계획; 작은 땅 조각; 몰래 꾸미다; 줄거리를 짜다"
11,preparatory,"준비의, 예비의"
12,contribute,"기여하다, 이바지하다; 기부하다"
13,phrase,"구, 구절, 어구; 표현하다"
14,vein,"정맥, 혈관; (식물의) 잎맥; 방식, 태도"
15,comprehensible,"이해할 수 있는, 알기 쉬운"
16,congress,"국회, 의회; (공식적인) 회의"
17,revolve,"(축을 중심으로) 돌다, 돌리다, 회전하다, 회전시키다"
18,flavor,"맛, 풍미; 양념, 향신료; 맛을 내다"
19,drop in,(잠시) 들르다
20,hold over,연기하다
21,process,"과정, 절차; 처리하다"
22,previous,"이전의, 앞의"
23,conscience,양심; (양심의) 가책
24,detail,"상세한 정보; 세부사항, 세부항목; 상세히 알리다"
25,exchange,"교환하다, 맞바꾸다; 환전하다; 교환, 교류; 환전; 거래소"
26,superior,"(~보다) 우수한, 우세한; 상급의, 상관의"
27,budget,예산; 예산안; 예산을 짜다
28,ornament,장식(품); 장식하다
29,confident,확신하는; 자신감 있는
30,insight,"통찰력, 식견, 통찰"
31,shortage,"부족, 결핍"
32,attribute,"(~을) …의 결과로[덕으로] 보다; 속성, 특성"
33,approve,"찬성하다, 인정하다; (공식적으로) 승인하다, 허가하다"
34,verse,"(시의) 연, (노래의) 절; 시, 운문"
35,comprehensive,"포괄적인, 종합적인"
36,persist,집요하게[고집스럽게] 계속하다; 지속하다
37,aggravate,악화시키다; 화나게 하다
38,favor,"호의, 부탁; 지지, 찬성; 호의를 보이다, 찬성하다"
39,take in,"섭취하다, 흡수하다"
40,think over,~을 숙고하다
41,complete,"완료하다, 끝내다; 완전한, 완벽한; 완료된"
42,private,"개인적인, 사적인, 사유의; 은밀한, 비밀의"
43,genius,천재; 천재성; 특별한 재능
44,innocent,"결백한, 무죄의; 순진한, 천진난만한"
45,beneath,"~의 밑에; 밑에, 아래쪽에"
46,attach,"붙이다, 첨부하다; ~에 애착을 느끼다; 연관되다, 연관 짓다"
47,focus,"집중하다; 초점을 맞추다; 초점, 중점; 집중(력), 전념"
48,quest,"탐구, 탐색; 추구"
49,capacity,"수용력; 용적, 용량; 능력"
50,extract,"뽑다, 추출하다; 발췌하다; 추출물; 발췌"
51,cue,"신호, 암시; (공연) 큐 사인; 큐 사인을 주다"
52,imminent,"금방이라도 닥칠 듯한, 임박한"
53,conserve,"아끼다, 아껴 쓰다; 보호하다, 보존하다"
54,terrain,"지형, 지세"
55,observation,"관찰, 주시, 감시; (관찰에 따른) 논평, 견해"
56,despise,"경멸하다, 혐오하다"
57,flaw,"결함, 단점; 흠, 상처"
58,oppress,"억압하다, 탄압하다; 압박감을 주다"
59,step in,"끼어들다, 간섭하다"
60,read over,"~을 끝까지 읽다, 통독하다"
[ IC 어휘완성 프로그램 ],,[ DAY 4 ]
No,Word,Meaning
61,duration,지속 기간[시간]
62,replace,"대신하다, 대체하다; 교체하다; 원위치에 놓다"
63,genuine,"진짜의, 진품의; 진실한, 진심의"
64,praise,"칭찬하다, 높이 평가하다; 칭찬, 찬사"
65,overlap,"겹쳐지다, 부분적으로 겹치다; 중복, 부분적 일치"
66,detach,"떼다; ~으로부터 거리를 두다, (상황에) 개입하지 않다"
67,admire,"존경하다, 높이 평가하다; (작품 등에) 감탄하다"
68,diagnose,진단하다; 원인을 밝혀내다
69,capability,"능력, 재능, 역량"
70,modify,"변경하다, 수정하다; 수식하다"
71,finance,"재무, 재정; 자금; 자금을 대다"
72,eminent,"저명한, 유명한"
73,merit,"장점, 좋은 점, 가치; (칭찬 등을) 받을 만하다"
74,democratic,"민주주의의, 민주적인; 평등한; 민주당의"
75,observance,"(법률, 규칙 등의) 준수; (전통, 종교) 의식"
76,eligible,"적격의, 자격이 있는"
77,agony,"(극심한) 고통, 괴로움"
78,suppress,"진압하다; 참다, 억제하다; 숨기다, 은폐하다"
79,give in,(~에게) 항복하다; (마지못해) 동의하다[받아들이다]
